file_name_without_sam_flag	total_reads	total_naked	total_tf	total_nuc	occup_naked	occup_tf	occup_nuc	total_discard	occup_discard
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2330_1_binding_label.cond8.tsv	37	2	1	32	5.41	2.7	86.49	2	5.41
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_1515_1_binding_label.cond8.tsv	46	5	0	39	10.87	0.0	84.78	2	4.35
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_1705_1_binding_label.cond8.tsv	103	58	4	38	56.31	3.88	36.89	3	2.91
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_3229_1_binding_label.cond8.tsv	121	10	2	106	8.26	1.65	87.6	3	2.48
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_835_1_binding_label.cond8.tsv	87	20	10	50	22.99	11.49	57.47	7	8.05
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4244_1_binding_label.cond8.tsv	180	28	4	128	15.56	2.22	71.11	20	11.11
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_979_1_binding_label.cond8.tsv	174	21	13	137	12.07	7.47	78.74	3	1.72
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4969_1_binding_label.cond8.tsv	49	36	6	3	73.47	12.24	6.12	4	8.16
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_1634_1_binding_label.cond8.tsv	196	28	8	155	14.29	4.08	79.08	5	2.55
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_5186_1_binding_label.cond8.tsv	49	2	2	43	4.08	4.08	87.76	2	4.08
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2639_1_binding_label.cond8.tsv	73	11	8	52	15.07	10.96	71.23	2	2.74
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2020_1_binding_label.cond8.tsv	168	22	6	134	13.1	3.57	79.76	6	3.57
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_4348_1_binding_label.cond8.tsv	73	7	4	58	9.59	5.48	79.45	4	5.48
binding_labeled_reads_for_peak/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_181_lf_15_rf_15_site_peak_2817_1_binding_label.cond8.tsv	78	6	5	64	7.69	6.41	82.05	3	3.85
