fname	D-D	N-N	D-N-N-D	T-N-N-T	T-D-D-T	T-T	qid	dist
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_133_lex_300_rex_300_site_peak_2835_4_cobinding.tsv	20.0	7.27	52.73	7.27	12.72	0.0	1	133
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_68_lex_300_rex_300_site_peak_147_1_cobinding.tsv	10.98	48.78	28.04	8.54	3.66	0.0	1	68
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_137_lex_300_rex_300_site_peak_1747_1_cobinding.tsv	8.9	39.53	32.98	14.14	3.4	1.05	1	137
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_90_lex_300_rex_300_site_peak_3596_2_cobinding.tsv	3.52	61.31	25.13	7.04	2.51	0.5	1	90
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_42_lex_300_rex_300_site_peak_3736_4_cobinding.tsv	57.45	7.45	15.95	5.32	13.83	0.0	1	42
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_52_lex_300_rex_300_site_peak_1599_7_cobinding.tsv	37.33	36.0	10.66	5.33	10.67	0.0	1	52
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_165_lex_300_rex_300_site_peak_1849_5_cobinding.tsv	19.44	11.11	30.56	8.34	30.56	0.0	1	165
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_141_lex_300_rex_300_site_peak_1849_6_cobinding.tsv	25.49	7.84	33.33	7.84	25.49	0.0	1	141
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_80_lex_300_rex_300_site_peak_684_2_cobinding.tsv	11.03	61.38	15.87	8.28	3.45	0.0	1	80
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_58_lex_300_rex_300_site_peak_473_4_cobinding.tsv	65.13	1.03	15.38	2.05	16.41	0.0	1	58
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_73_lex_300_rex_300_site_peak_820_2_cobinding.tsv	2.61	58.26	24.35	13.05	0.87	0.87	1	73
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_94_lex_300_rex_300_site_peak_1903_1_cobinding.tsv	18.35	33.94	33.03	4.58	10.09	0.0	1	94
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_90_lex_300_rex_300_site_peak_3012_2_cobinding.tsv	10.08	41.86	28.69	13.18	6.21	0.0	1	90
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_86_lex_300_rex_300_site_peak_3124_3_cobinding.tsv	53.68	7.37	20	6.31	12.63	0.0	1	86
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_40_lex_300_rex_300_site_peak_3842_3_cobinding.tsv	70.73	0.81	5.7	0	21.95	0.81	1	40
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_68_lex_300_rex_300_site_peak_1003_1_cobinding.tsv	3.03	46.97	27.28	13.64	9.09	0.0	1	68
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_63_lex_300_rex_300_site_peak_3084_10_cobinding.tsv	15.83	22.3	47.48	2.88	10.79	0.72	1	63
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_123_lex_300_rex_300_site_peak_2127_2_cobinding.tsv	5.33	49.33	26.66	14.66	4	0.0	1	123
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_54_lex_300_rex_300_site_peak_2127_3_cobinding.tsv	12.5	56.25	16.97	9.82	3.57	0.89	1	54
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_85_lex_300_rex_300_site_peak_1097_3_cobinding.tsv	5.15	39.18	35.05	7.21	12.38	1.03	1	85
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_52_lex_300_rex_300_site_peak_3587_6_cobinding.tsv	71.97	3.82	7.64	3.82	12.1	0.64	1	52
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_142_lex_300_rex_300_site_peak_378_1_cobinding.tsv	2.0	39.0	27	26	5	1.0	1	142
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_138_lex_300_rex_300_site_peak_687_1_cobinding.tsv	25.0	9.09	22.73	6.82	34.09	2.27	1	138
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_39_lex_300_rex_300_site_peak_391_4_cobinding.tsv	68.03	3.28	3.28	1.64	22.95	0.82	1	39
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_69_lex_300_rex_300_site_peak_3333_1_cobinding.tsv	52.27	3.41	14.78	4.54	25	0.0	1	69
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_46_lex_300_rex_300_site_peak_1564_4_cobinding.tsv	77.48	6.31	2.7	1.8	10.81	0.9	1	46
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_120_lex_300_rex_300_site_peak_1143_3_cobinding.tsv	23.81	16.67	42.06	8.73	7.94	0.79	1	120
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_138_lex_300_rex_300_site_peak_1143_3_cobinding.tsv	24.07	17.59	41.66	9.26	6.48	0.93	1	138
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_50_lex_300_rex_300_site_peak_1512_5_cobinding.tsv	58.77	0.88	4.39	0.88	34.21	0.88	1	50
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_146_lex_300_rex_300_site_peak_5298_1_cobinding.tsv	6.54	17.76	57.01	18.69	0	0.0	1	146
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_36_lex_300_rex_300_site_peak_2816_2_cobinding.tsv	70.69	1.72	3.44	1.72	22.42	0.0	1	36
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_58_lex_300_rex_300_site_peak_11_4_cobinding.tsv	63.44	6.45	8.6	1.08	20.43	0.0	1	58
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_72_lex_300_rex_300_site_peak_1112_11_cobinding.tsv	19.18	16.44	35.62	8.22	20.55	0.0	1	72
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_57_lex_300_rex_300_site_peak_1112_12_cobinding.tsv	20.99	19.75	30.87	6.17	20.98	1.23	1	57
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_128_lex_300_rex_300_site_peak_3431_1_cobinding.tsv	17.36	26.45	42.97	12.4	0.83	0.0	1	128
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_144_lex_300_rex_300_site_peak_1556_3_cobinding.tsv	30.77	9.23	29.23	12.31	18.46	0.0	1	144
