quantile	chr	peak_id	chrStart	strand	sec_peak	normalized_eob	log10p_val	imbalance	D_D	N_N	D_N_N_D	T_N_N_T	T_D_D_T	T_T
4	chr3L	peak_1455_1	chrStart	+	36	100	100	03_NOT_IMB	0.0	43.21	0	3.7	0	53.09
2	chr2R	peak_2242_1	chrStart	+	52	43.7458823529412	1.36953415475828	01_NOT_SIG	77.65	2.35	3.53	1.18	12.94	2.35
3	chr3L	peak_2002_1	chrStart	+	46	51.1183098591549	1.20710731028155	01_NOT_SIG	54.93	5.63	7.05	2.82	23.94	5.63
1	chr3R	peak_16_5	chrStart	+	72	16.4911764705882	0.355641950783112	01_NOT_SIG	11.76	34.12	27.65	15.29	10.59	0.59
4	chr2R	peak_1155_5	chrStart	+	37	76.9186046511628	3.07183235928095	02_IMB	20.93	46.51	15.12	5.81	6.98	4.65
3	chrX	peak_431_3	chrStart	+	31	66.1392405063291	1.82614326899501	01_NOT_SIG	22.78	27.85	17.72	3.8	21.52	6.33
2	chr3L	peak_1559_1	chrStart	+	63	47.0574712643678	1.10816931535553	01_NOT_SIG	37.93	22.99	16.09	0	20.69	2.3
4	chr3R	peak_4932_6	chrStart	+	39	100	100	03_NOT_IMB	37.4	36.59	7.31	0.81	3.25	14.63
2	chr2L	peak_373_3	chrStart	+	39	41.5604938271605	1.74996548668492	01_NOT_SIG	67.9	13.58	8.64	0.62	8.03	1.23
2	chr2R	peak_56_2	chrStart	+	124	26.1552083333333	0.793072991947664	01_NOT_SIG	34.38	16.67	31.25	9.37	7.29	1.04
3	chr3R	peak_1030_2	chrStart	+	33	64.2810810810811	2.8169481859925	03_NOT_IMB	22.52	36.94	29.73	3.6	4.5	2.7
3	chr2R	peak_293_4	chrStart	+	48	74.9192307692308	2.45191314547677	02_IMB	42.31	18.46	6.15	3.08	26.15	3.85
2	chr3R	peak_2_1	chrStart	+	49	33.3414634146341	0.770022276078134	01_NOT_SIG	53.66	19.51	2.44	4.88	17.08	2.44
3	chr2R	peak_2784_1	chrStart	+	44	68.75	2.95568586865069	03_NOT_IMB	57.14	26.53	5.1	1.02	7.14	3.06
3	chr3R	peak_994_1	chrStart	+	74	55	2.63065776128821	03_NOT_IMB	11.43	58.29	17.71	7.42	2.85	2.29
4	chr2R	peak_23_8	chrStart	+	50	80	3.67825734893367	03_NOT_IMB	52.33	25.58	12.79	3.49	2.33	3.49
3	chr2L	peak_1972_3	chrStart	+	54	65.375	2.12214545641519	03_NOT_IMB	63.24	2.94	8.82	4.41	14.7	5.88
